"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","LinkGPStracking","public","spatial_ref_sys","srid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","schema_name",2,"name",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","table_name",3,"name",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","associated_schema_name",4,"name",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","associated_table_prefix",5,"name",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","compressed_hypertable_id",11,"integer",NULL,"FOREIGN KEY","_timescaledb_catalog","hypertable","id"
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","tablespace","hypertable_id",2,"integer",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","tablespace","hypertable_id",2,"integer",NULL,"FOREIGN KEY","_timescaledb_catalog","hypertable","id"
"postgresql","LinkGPStracking","_timescaledb_catalog","tablespace","tablespace_name",3,"name",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","tablespace","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","hypertable_id",2,"integer",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","hypertable_id",2,"integer",NULL,"FOREIGN KEY","_timescaledb_catalog","hypertable","id"
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","column_name",3,"name",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension_slice","dimension_id",2,"integer",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension_slice","dimension_id",2,"integer",NULL,"FOREIGN KEY","_timescaledb_catalog","dimension","id"
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension_slice","range_start",3,"bigint",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension_slice","range_end",4,"bigint",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension_slice","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","chunk","hypertable_id",2,"integer",NULL,"FOREIGN KEY","_timescaledb_catalog","hypertable","id"
